Mc,eta,DL,z,m1,m2,M_tot,q,snr,DL_stat_err,z_stat_err,inspiral_t,eta_full_bias,eta_stat_err,full_inner_prod,lam_0,lam_1,bias_0,bias_1,inner_0,inner_1
5.6129290424220795,0.05432698964743327,32024.580169579396,3.5695997709170664,30.36631799778615,1.8577353285854292,32.22405332637158,16.34587959357405,5.324126244323874,84343.56037697269,7.289385505056422,501.99407033908244,0.00018355223006359949,0.0003322622383987703,0.9074310378746845,0.0,1.0,3.696781571604099e-18,0.000183552230063619,1.0,0.9074310378746981
41.276622040775294,0.24985412468160653,69285.8744183338,6.89600084582326,48.576727668455014,46.28526313997886,94.86199080843387,1.049507432237042,7.786345252878212,24729.78160437176,2.102794945790884,17.787393770872775,0.027582908053495385,0.011478298366442362,0.6812497699779023,0.0,1.0,1.151748313549318e-15,0.02758290805349462,1.0,0.6812497699778943
19.380143243860854,0.2358158904386751,37699.83741502819,4.095758737421223,28.547749938089723,17.56416337815245,46.11191331624217,1.6253407192510765,10.766815020786893,15050.474844138771,1.3559102595797663,64.28414718650409,0.008937054646648485,0.0033714957425095026,0.8505472792784289,0.0,1.0,1.3223958827900041e-15,0.008937054646647066,0.9999999999999999,0.8505472792784108
12.84274233528859,0.11007684841987628,39769.66482733041,4.285311068856508,42.187416383216494,6.078457884345835,48.26587426756233,6.940480165514335,8.817576367323998,41358.814401067546,3.6247195087606237,125.84819431724276,0.0016550991717734775,0.0009463730899742955,0.8888962753955347,0.0,1.0,3.58580960579691e-16,0.0016550991717730508,1.0,0.8888962753955155
37.63805987845305,0.2382104749734045,25104.513748124034,2.912215522786404,54.17115450027507,34.8412875019258,89.01244200220087,1.5547977237431552,19.36990036988657,4922.029172190119,0.46957878780348716,20.783140113571296,0.022326280656831135,0.0036937774800390494,0.7029221050133719,0.0,1.0,1.0565800367208767e-15,0.02232628065683037,1.0,0.7029221050133628
12.580335757991,0.19766925747064198,29912.382435150885,3.37101861767205,24.25005713928181,9.025761886405801,33.27581902568761,2.6867601255696942,12.590954742681408,6087.890167645624,0.5682090144659431,132.16441614214872,0.003953381286318903,0.0015402096229303734,0.896768598008456,0.0,1.0,5.465637390827557e-16,0.003953381286318402,1.0,0.8967685980084507
55.54332244103869,0.24520763987358649,145018.84678875597,13.203883650266636,73.4846875366957,55.610917139505034,129.09560467620074,1.3214075817586806,11.620880892731199,90001.13529284907,7.184605315397157,10.539710436209159,0.03964596658769981,0.010794779721793206,0.5703931133808758,0.0,1.0,1.0724460587802414e-15,0.03964596658769917,1.0,0.5703931133808704
12.520708617794595,0.19912535874797171,32973.83198188816,3.6583242464808703,23.923391767233394,9.04919091790081,32.972582685134206,2.6437050543279987,22.9716857594393,46827.00479201751,4.13872541059434,133.24004569718937,0.004069598450868808,0.0009234245783956415,0.8976850272024561,0.0,1.0,5.013577768887851e-16,0.004069598450868461,1.0,0.8976850272024528
29.307620240430715,0.2115598502459803,48737.60182442692,5.094767512022584,51.804594471674775,22.62070740840356,74.42530188007834,2.29014033630219,12.983929458281855,5783.755975736091,0.5135256183686199,31.702000816762467,0.015284383898682488,0.004117704238530267,0.7563688081554213,0.0,1.0,8.030945913279016e-16,0.015284383898681616,1.0,0.7563688081554116
12.543311681325847,0.19364269078572205,21835.83966206419,2.5938212901769355,24.769251467975863,8.820868013546525,33.590119481522386,2.8080288050945588,21.207232669542318,6485.462893067172,0.6264738039901951,132.76293732943554,0.004003763783564762,0.001002637588411705,0.8960553779705454,0.0,1.0,5.713512654932062e-16,0.004003763783564096,1.0,0.8960553779705391
8.880111720317881,0.10083651644175061,15237.591541502023,1.9290577209315627,31.173656848839837,4.002446560290776,35.17610340913061,7.78865036153664,16.08655710043912,1129.8632423807312,0.11643048852001181,234.21472074701808,0.0009911817333557577,0.00036360615287591114,0.9180494267150352,0.0,1.0,9.044905141429708e-17,0.0009911817333556805,1.0000000000000002,0.9180494267150365
29.687440648839257,0.18453438461295718,69190.81824878413,6.887800684480063,61.85419708841419,19.97840824812376,81.83260533653795,3.0960523140887926,6.362819253723711,43196.60242692865,3.6421543110261476,30.73076646729615,0.011630660274832528,0.005824744636783897,0.7409933343582558,0.0,1.0,6.840241031799713e-16,0.011630660274831991,1.0000000000000002,0.7409933343582443
23.52030823330361,0.24907725975769998,14572.364526877049,1.8598893810470447,28.72281155068784,25.432687387587645,54.155498938275485,1.1293659656551251,42.83490734200723,379.63442936602826,0.03953198562567284,46.47763963093206,0.012939845855584466,0.0011870696509394274,0.8211834826660255,0.0,1.0,1.3045753045046889e-15,0.012939845855583153,1.0,0.8211834826660115
81.3162285090642,0.20126705265979353,271568.4556734977,23.254018707807365,153.35626450696338,59.41531398457198,212.77157849153537,2.5810898608864457,7.874799427373323,208668.7888976766,16.043832476073536,4.975174077728095,0.05038024854530681,0.022554034271630573,0.3653100080282674,0.0,1.0,1.7246527428003927e-16,0.050380248545306615,0.9999999999999999,0.36531000802826674
8.670535332014005,0.24737761185694332,2570.293151249727,0.44930640858296417,11.049590424769084,8.996499616234638,20.046090041003723,1.228209958996668,152.06655408479625,61.05309455397019,0.00896350576821392,246.80961201156322,0.002928879825371494,0.00013622588550572416,0.9401244392102421,0.0,1.0,7.795769331947747e-16,0.0029288798253724185,1.0000000000000002,0.940124439210263
