Mc,eta,DL,M_tot,q,full_bias,snr,Mc_stat_err,Mc_max_lam,Mc_min_faith
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.85999629019872,0.24067139934205292,11769.958184398763,58.431410443907424,1.4788349712964632,0.07468065986647834,51.977321566836025,0.008261142985651332,0.1788649529057435,0.9986176535668947
28.148377227313176,0.24636420561741718,18750.43042975303,65.23892512766355,1.2742652380188153,0.10103663415784252,26.985560955876963,0.01848782025059183,0.21049041445120198,0.9995938054911443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.6197584066745,0.24899847712017412,15862.8723896163,59.00067978762865,1.1351409552157015,0.07323911874289392,35.72808722962549,0.010565995635439055,0.19403442495579137,0.9973708638594065
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.035365931492024,0.24903630653830758,5106.512428776529,62.2550594575193,1.1323935450001843,0.08326567787454692,67.48877764302928,0.00598218558992741,0.1291549665014884,0.999963497795683
20.296811447729382,0.24428555541742686,5920.684291343304,47.28127120607311,1.3562340574166813,0.03340196452759061,50.95256080727522,0.003780751679911341,0.19403442495579137,0.9994752998053363
27.643437449286306,0.24992311120426983,12493.948039020881,63.5196644512328,1.0357005928545986,0.09244668902286671,59.52999107554597,0.007974422408751496,0.1519911082952933,0.9992556829071372
24.936828418966662,0.24611390562523322,4412.555008374832,57.83084334571,1.2848710845150852,0.06672449128361002,52.800387212473176,0.006615770188142083,0.1648814192907418,0.9993236840379335
17.81380840989809,0.24998860249747668,8317.959457006364,40.92650434742019,1.0135958748106246,0.023229219077380167,36.58328734626713,0.004018266239413449,0.2477076355991709,0.9983322503924654
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.180610428498078,0.23888561854862334,8280.810569296122,64.17194505416256,1.5343709280697928,0.10100621103039706,53.37632392303331,0.010000409553134672,0.1648814192907418,0.9986385067046414
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.805737183339886,0.24287102344195127,4139.300379254432,62.66172315199732,1.4063523865853202,0.09039472534018042,116.52855296780251,0.003978445744677954,0.21049041445120198,0.9992304488204297
30.7807901207397,0.2499635205124524,23751.187182791236,70.72187788998849,1.0244547047830963,0.1719534660687049,20.10630989597564,0.04662348454888721,0.2915053062825176,0.999216345809656
29.71350921480628,0.24823105736421824,13207.004283067727,68.55517999059032,1.183686463322701,0.13149262173889753,74.57747127445819,0.009274352749269658,0.1401085525598016,0.9993650873801746
31.880427842913335,0.24898228339673137,10471.32209286949,73.42146972308673,1.1363032887216757,0.1386416860380834,35.07463089430839,0.01923241828283608,0.1648814192907418,0.998515905137928
22.731090917135493,0.24452071254208804,25980.124802329017,52.92134672156988,1.3475402277910875,0.05394881681966607,22.000357320517107,0.013982770512423633,0.2915053062825176,0.9999764625891445
23.489887905997794,0.24055862465472597,9568.096626051438,55.22660993797319,1.482416669823726,0.05712464202971998,71.58099642109813,0.004323551527252359,0.1519911082952933,0.9998919795166011
24.27130537350253,0.24510906432456,6347.117218754409,56.42577219577753,1.3252311228268376,0.06091431681939141,91.08190345152255,0.003514254584465301,0.31622776601683794,0.9987389647176977
28.314258820418562,0.2494259978504521,2013.3729236211746,65.13886194317834,1.1006564932165828,0.10447320728374981,169.02941799531297,0.003113431991899065,0.0792482898353917,0.9989821938601477
26.37769515305184,0.23466255826765883,2254.42714046803,62.94635173772054,1.6584744925872827,0.10000211965813333,291.6338443959157,0.0019624464798377018,0.31622776601683794,0.9984361318030535
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.104861255977593,0.24999108313608948,8829.726505694402,59.97450585630683,1.0120162108519433,0.08944277458815877,54.8111978988025,0.009607097618479256,0.021544346900318822,0.9996912586822516
28.747621302395313,0.24869372391817024,14285.603138009199,66.25261428135967,1.1558342249730051,0.11796526668424087,37.29958848030416,0.017251545627957558,0.19403442495579137,0.9990512551283243
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.794444206975424,0.24367010850794957,10132.50382918968,64.84502171947936,1.378464140535638,0.09860654994690898,70.6181115730993,0.0071004293425341635,0.31622776601683794,0.9989819737431616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.291675398014544,0.24107789455040632,16925.965801561757,57.037835351484006,1.4658291396624217,0.06820124939833846,40.95514814434583,0.00918178179973088,0.21049041445120198,0.998021695340859
24.523516340410385,0.22850410923748973,2054.0014240988803,59.46293391280385,1.8297730491182145,0.07335991369736794,344.1249832657452,0.001232003242738548,0.08596930867190788,0.9989593905208975
23.946501565494497,0.231953855025112,7908.210383315281,57.544141841078535,1.7347505850798042,0.060949678220647896,43.129626768902476,0.007444951134584584,0.1788649529057435,0.998800787025465
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.925962406528562,0.24570104827053568,2873.0582384928025,67.14962811343621,1.3018476955995228,0.1351911010938381,262.75613322427967,0.0028180480234487153,0.0792482898353917,0.9991336164639927
