mass_ratio total_mass dec ra theta_jn psi delta_phase chi_1 chi_2 time_jitter
0.9837786959589105 235.1881046593948 0.2753510962927175 3.8097907384880347 1.8184619951767709 0.5430063108594942 0.48303367839841754 0.028427238281070428 0.009069104039981232 0.00029482010055412546
0.9525667639926724 234.97441170645408 0.2457542397666346 3.850225556418253 1.7867918154547238 0.49734264118293636 0.5928167262909103 0.026010161493914857 0.009853546665316463 0.0002960239604990312
0.9498987323148456 234.96470118665408 0.2477075666375117 3.8467575044801374 1.7790258764812685 0.516527704325976 0.6085402689295764 0.026289897305784914 0.01010450035558484 0.00030849463796110016
0.9655044958189423 235.06846180156197 0.2739188185018506 3.814401259706365 1.8040214213960803 0.5640736958219559 0.5250496490674141 0.026610162546604556 0.009739476611396155 0.00034172174176085555
0.9569195129362251 234.99912738709293 0.2786504890532424 3.802599739004056 1.79280960441076 0.6037597377445449 0.529275068505444 0.02697489839971859 0.008965775227149763 0.00029171388145491793
0.9387637192550563 234.85392138615614 0.28506434162846234 3.7895456220231547 1.8227282501401574 0.5777807042726834 0.45096286734980984 0.026325602782223415 0.008241931676047566 0.0002713925473499904
0.9577702398508773 234.99955168546904 0.2629035933225232 3.826710505452916 1.8056406734973935 0.5241569060164268 0.5297452232290527 0.026032268202304594 0.009000812804159404 0.00028780242283955523
0.9617006154181412 235.05352770535998 0.2669728834979332 3.8257801438704115 1.8033596916018406 0.5380967176661804 0.5393423583799487 0.02603710378045931 0.01024579494720344 0.0003615698576619878
0.9622293465673722 235.03713537969313 0.2618685298488536 3.8351376902859307 1.8009491544834506 0.5222876833458572 0.5546393525393057 0.025705824039450455 0.010097216532563716 0.00037360323634995124
0.9694305854720348 235.09854491955682 0.2710590630638726 3.818515047696292 1.7996797397706072 0.5610639212664633 0.5379874465044704 0.026542958006218302 0.009765449415757058 0.00033745421478201644
0.9286790282173828 234.8089482038516 0.2670966514533449 3.8213775791133324 1.7974390953598158 0.5548504165176685 0.5481781142665909 0.024478116924053245 0.010030941188723205 0.000339409758110302
0.9494161922312269 234.9233943066735 0.28613684750775775 3.7878049474344575 1.8087602820374933 0.6077821197623421 0.47861744291520913 0.027091649169901647 0.008087263928061233 0.0002677557534433964
0.9822100975794049 235.17504635451505 0.25242660595523464 3.8417234390965986 1.8088779158064026 0.4748116491591423 0.5300653233827326 0.026946571018917516 0.009552766285872805 0.0002785528800204514
0.9462314447839959 234.9344443719678 0.27329536068837124 3.8140997054402095 1.7881727066429256 0.5884433542442675 0.5559835576836066 0.025780926924222763 0.009845461703157303 0.0003483507909023061
